Depth (nm)	Load (µN)
-5.452503	-0.164604
-5.474708	-0.159972
-5.385901	-0.17753
-5.409697	-0.173026
-5.372464	-0.128148
-5.301667	-0.139508
-5.239918	-0.10459
-5.20707	-0.099222
-5.157817	-0.10171
-5.03418	-0.077162
-5.050511	-0.073401
-4.964124	-0.090222
-4.979605	-0.051394
-4.926536	-0.039447
-4.857156	-0.049339
-4.78715	-0.01346
-4.743253	-0.02261
-4.749397	0.029228
-4.569149	0.012642
-4.461998	-0.008343
-4.56498	0.012513
-4.608751	0.06372
-4.508252	0.095019
-4.467688	0.11723
-4.454197	0.17201
-4.219369	0.137341
-4.15906	0.150204
-4.134243	0.109849
-4.050042	0.084539
-4.098922	0.137618
-3.964429	0.127345
-3.904013	0.115371
-3.958357	0.126615
-3.912349	0.137392
-3.870194	0.159371
-3.760663	0.144704
-3.802622	0.167964
-3.771758	0.231646
-3.672871	0.240859
-3.588557	0.225003
-3.492483	0.264188
-3.449508	0.257001
-3.416391	0.251007
-3.39501	0.247349
-3.342494	0.277595
-3.285489	0.283738
-3.158193	0.25883
-3.317863	0.312891
-3.278709	0.378082
-3.213646	0.422333
-3.035944	0.42574
-2.969532	0.452911
-3.034353	0.479642
-2.988163	0.515322
-2.852552	0.541709
-2.763147	0.524751
-2.726905	0.517798
-2.668237	0.555229
-2.508509	0.543597
-2.562118	0.494549
-2.573101	0.563533
-2.600132	0.592199
-2.530896	0.650226
-2.387903	0.646222
-2.295806	0.658027
-2.140537	0.598248
-2.096073	0.590276
-2.136626	0.598102
-2.1033	        0.591321
-1.993641	0.570491
-2.039607	0.580264
-1.998746	0.615867
-1.914617	0.610687
-1.906535	0.60882
-1.951859	0.663659
-1.890806	0.704935
-1.905197	0.768447
-1.930791	0.854022
-1.69308	0.866519
-1.811351	0.972859
-1.59425	1.000123
-1.559199	1.010737
-1.360061	1.028383
-1.375476	1.032437
-1.279181	1.013691
-1.398919	1.063939
-1.459812	1.131759
-1.261727	1.178969
-1.204929	1.211026
-1.000035	1.19477
-1.065807	1.208442
-0.892119	1.181353
-0.959699	1.205965
-1.033132	1.271346
-1.07791	1.36736
-0.888664	1.408308
-0.888545	1.464491
-0.769811	1.506943
-0.6376	        1.526041
-0.608417	1.528585
-0.634841	1.584811
-0.468738	1.564054
-0.529784	1.619878
-0.377653	1.615148
-0.436289	1.678932
-0.483144	1.760082
-0.227103	1.755369
-0.301153	1.807185
-0.173536	1.813627
-0.135647	1.854825
-0.139409	1.90393
-0.112658	1.974281
-0.013484	2.009074
0	        2.175908
	
0.096994	3.618045
0.550671	5.847918
1.062567	9.131819
1.492669	12.939056
2.057463	16.959646
2.733276	21.085923
3.320943	25.269252
4.050202	29.443969
4.441081	33.631714
4.958945	37.784396
5.285073	41.925842
5.987075	46.033962
6.409353	50.158248
6.910354	54.258179
7.411074	58.36166
7.854454	62.445154
8.379909	66.512362
8.888927	70.615761
9.35975	        74.693654
10.155061	78.70723
10.5981	        82.802114
11.206967	86.870617
11.641919	90.92418
12.327972	94.962468
13.081184	99.015166
13.709934	103.068292
14.354091	107.118068
14.989723	111.152213
15.54027	115.224704
16.273139	119.229601
17.230782	123.255249
17.683095	127.339892
18.33949	131.373082
18.819587	135.415847
19.457492	139.43594
20.264653	143.4529
21.115064	147.489936
21.833291	151.522308
22.300924	155.570464
22.855769	159.598265
23.863293	163.59198
24.768528	167.62646
25.44439	171.673284
26.40917	175.665513
27.213541	179.725066
27.943039	183.73244
29.023548	187.756119
29.409403	191.814124
30.615358	195.766125
31.88184	199.797977
32.741501	203.858063
33.421379	207.898093
34.018164	211.916238
34.85936	215.905912
36.291492	219.898618
37.047049	223.965526
37.598965	227.997181
38.785621	231.961963
39.6239	        236.011806
40.124086	240.06722
41.004562	244.04096
42.067474	248.059636
43.257924	252.056556
44.497851	256.069963
45.830423	260.076188
48.44743	263.984269
50.961388	268.034249
51.807239	272.173401
52.143828	276.214849
53.709564	280.106618
55.990944	284.132162
58.07174	288.158875
58.829301	292.252176
59.172587	296.286495
60.139217	300.247985
61.008586	304.290976
61.927816	308.290432
63.045526	312.278081
63.836554	316.342342
64.248434	320.355471
65.236503	324.291259
67.674371	328.308697
68.406059	332.370414
70.999453	336.275772
71.917553	340.397896
72.682542	344.406287
73.502118	348.426581
75.293593	352.340375
76.958077	356.421765
78.222791	360.415493
79.36173	364.470818
80.41897	368.454497
80.628021	372.529014
80.926066	376.539973
82.94123	380.448426
84.066556	384.507172
85.249849	388.508937
85.898689	392.569514
86.330199	396.579283
86.925343	400.563423
87.508982	404.586855
89.591879	408.483463
92.440539	412.479341
94.278654	416.569363
95.364254	420.606171
96.210081	424.613779
96.59245	428.640548
98.380167	432.574405
99.537474	436.651126
100.814985	440.626701
102.192287	444.632995
103.201507	448.679569
103.881132	452.687332
104.131996	456.712613
104.987797	460.703509
105.666429	464.724992
106.03657	468.735023
106.343214	472.75007
106.868067	476.737923
107.673018	480.733622
108.35899	484.745499
108.669754	488.794209
110.40586	492.683508
111.868844	496.780681
112.041943	500.805565
112.744879	504.785071
114.719986	508.721848
116.874387	512.760451
117.2129	516.855363
119.020013	520.761043
119.653571	524.865496
120.241939	528.822156
121.847645	532.821086
122.941631	536.828487
124.13877	540.839834
125.125587	544.85257
125.887974	548.89333
126.407277	552.884198
127.07103	556.903705
127.28724	560.916392
127.610056	564.934312
128.172555	568.910556
129.329139	572.867322
130.892796	576.904161
132.474485	580.895873
133.355955	584.941408
133.722479	588.954712
134.895633	592.915966
135.638404	596.983428
136.269868	600.95501
137.420436	604.94967
138.303745	608.960588
138.60182	613.019753
139.61116	616.963872
140.603219	621.00022
140.819068	625.02464
141.51109	628.995096
143.837949	632.95938
145.003186	637.018197
145.424473	641.023423
146.17306	645.047086
146.3937	649.04814
146.768171	653.062232
147.059423	657.067153
147.383648	661.077242
148.976043	664.996936
150.602786	669.053128
150.974798	673.079874
151.514809	677.057224
154.018528	681.037335
154.699248	685.10565
155.797373	689.078346
156.499078	693.096641
156.848115	697.133989
157.562246	701.093162
159.600328	705.068412
160.888116	709.112948
161.249553	713.151646
163.435013	717.062315
164.44093	721.139873
164.711328	725.163366
165.163968	729.147113
165.449792	733.179099
165.867544	737.165854
166.016583	741.192023
166.990284	745.112802
168.602229	749.191921
168.885399	753.201304
169.08884	757.190766
169.766777	761.191335
171.410162	765.140094
172.755507	769.2124
172.945959	773.231712
173.370078	777.216175
173.66264	781.234337
173.756519	785.240169
175.038693	789.168795
178.470308	793.169719
179.663768	797.223073
180.114554	801.250553
180.30562	805.282492
180.932375	809.237659
181.753978	813.254694
182.4335	817.260755
182.512406	821.26776
183.633633	825.26342
184.651716	829.272366
185.553001	833.288733
185.944496	837.288459
186.316905	841.295293
186.677408	845.303985
186.994497	849.316179
188.184679	853.253906
190.44773	857.27458
191.118732	861.330486
192.017247	865.303109
192.688924	869.318494
193.501745	873.328372
193.94143	877.334799
194.000445	881.360504
194.927169	885.331783
195.367415	889.335951
196.142458	893.352856
196.934952	897.341712
197.11213	901.394027
197.471824	905.371661
198.612701	909.353117
199.091193	913.386955
199.33231	917.378994
199.489117	921.409292
200.052879	925.378263
200.420358	929.394186
201.816002	933.372381
202.416201	937.395866
202.71146	941.418284
203.218768	945.417438
203.519279	949.415331
203.653035	953.43695
203.828345	957.429565
203.858111	961.425485
204.360579	965.447869
204.497996	969.43785
204.811876	973.427446
206.190045	977.4297
206.340131	981.448171
206.484971	985.480801
206.814415	989.461202
207.148794	993.458685
209.635965	997.406827
210.438708	1001.471964
210.769182	1005.482527
210.865397	1009.496863
210.911011	1013.480761
211.925694	1017.466796
212.429359	1021.483638
212.840162	1025.502684
213.11936	1029.503416
213.216658	1033.509765
213.874172	1037.485347
214.817248	1041.501772
215.243212	1045.513386
215.303737	1049.533346
215.681894	1053.52303
215.98824	1057.522854
216.375972	1061.528545
216.575921	1065.533663
216.543527	1069.55877
217.018026	1073.522214
218.190239	1077.540165
218.42724	1081.563557
218.916918	1085.537802
219.122219	1089.557776
219.45739	1093.580424
220.162536	1097.543839
221.0174	1101.566031
221.322414	1105.576513
221.702595	1109.55754
222.660622	1113.572808
223.284939	1117.581781
224.020516	1121.574479
224.254241	1125.605767
224.627203	1129.592925
224.890119	1133.585192
225.251178	1137.613527
225.627933	1141.604578
226.337161	1145.596463
226.473312	1149.627056
226.669335	1153.604301
226.727237	1157.631117
227.316904	1161.620634
228.097601	1165.627524
228.357919	1169.642955
228.842978	1173.623371
229.061124	1177.636928
229.130303	1181.66266
229.218164	1185.64342
229.772601	1189.637542
230.097419	1193.662555
230.667503	1197.643881
231.1308	1201.644215
231.540359	1205.676157
232.536209	1209.65694
233.054121	1213.662142
233.637218	1217.649728
235.646705	1221.654087
236.166837	1225.67377
236.590516	1229.696317
236.882836	1233.682682
237.61317	1237.680564
237.673593	1241.702439
238.300666	1245.684062
238.536328	1249.712196
239.027669	1253.710413
239.789517	1257.705759
240.303744	1261.710666
240.591173	1265.721782
241.022199	1269.711811
241.335558	1273.726788
241.610294	1277.729385
241.656127	1281.740659
241.70234	1285.737969
242.267268	1289.727747
243.815987	1293.693556
244.968444	1297.749274
245.256594	1301.75252
245.606677	1305.738153
246.389375	1309.752858
247.027933	1313.751988
247.659656	1317.749513
248.121477	1321.767873
248.352373	1325.763114
248.854773	1329.768206
249.184583	1333.775091
249.165396	1337.78144
249.563639	1341.771889
249.733565	1345.784763
250.757055	1349.793534
251.588909	1353.777871
252.026408	1357.786431
252.449063	1361.813187
252.609761	1365.794558
253.111095	1369.793916
253.533869	1373.813073
253.938489	1377.813494
254.15598	1381.812642
254.516007	1385.815635
254.752568	1389.808973
255.90699	1393.803977
255.998637	1397.84747
256.472908	1401.826635
256.764828	1405.818089
257.863785	1409.834277
258.518535	1413.831699
258.979788	1417.838999
259.386114	1421.856885
259.965023	1425.835207
260.293302	1429.846766
261.18431	1433.832411
262.181971	1437.859839
262.682165	1441.845533
263.04429	1445.887868
263.344006	1449.86582
263.63349	1453.874243
263.767423	1457.873001
263.938837	1461.887929
264.099892	1465.878843
264.230063	1469.887369
